Distance,Score
34,556
30,
37,
22,
23,
23,
37,
28,
25,
34,
30,
27,
25,
24,
25,
26,
27,
45,
34,
26,
47,
26,
26,
27,
26,
27,
28,
29,
27,
27,
27,
29,
27,
26,
30,
29,
29,
28,
28,
29,
29,
27,
27,
28,
28,
29,
44,
30,
46,
40,
29,
30,
29,
48
