Distance,Score
46,47
46,
55,
51,
46,
49,
50,
42,
49,
49,
46,
46,
55,
51,
46,
49,
50,
44,
49,
43,
46,
42,
55,
51,
46,
49,
50,
44,
49,
43,
46,
46,
55,
51,
46,
49,
50,
44,
46,
49
