Distance,Score
24,567
29,
32,
27,
27,
27,
29,
47,
47,
28,
28,
27,
27,
28,
30,
30,
28,
29,
42,
28,
29,
28,
30,
28,
28,
32,
29,
39,
33,
30,
30,
45,
27,
28,
30,
28,
27,
28,
28,
27,
28,
28,
42,
29,
31,
27,
27,
28,
29,
29,
28,
27,
52,
55,
64,
53,
53
