Distance,Score
56,490
56,
55,
55,
54,
62,
52,
51,
52,
54,
57,
57,
55,
55,
57,
64,
53,
52,
53,
52,
49,
52,
50,
50,
50,
49,
50,
49,
50,
49,
49,
50,
49,
49,
50,
49,
49,
49,
49,
50,
50,
49,
50,
50,
49,
50,
49,
50,
49,
49,
50,
50,
49,
50,
49,
50,
49,
50,
50,
49,
50,
50,
49,
50,
49,
49,
49,
50,
51,
50,
53,
56,
54,
50,
50,
50,
51,
50,
49,
49,
51,
50,
51,
51,
50,
53,
64,
50,
51,
50,
51,
50,
49,
49
